Аймаг,Тойрог,Мандат,Дэвшигчийн тоо,Дэвшигчийн нэр,Нам
,,,,Алтангэрэлийн Мөнх-Эрдэнэ,Зөв хүн электорат эвсэл
,,,,Шийлэгсүрэнгийн Болорсүрэн,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Нямсүрэнгийн Батцэцэг,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Бадамжавын Базарваань,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Рагчаагийн Лхагвасүрэн,Зон Олны нам
,,,,Батсүхийн Хайдавмөнх,Бие даан нэр дэвшигч
,,,,Базарын Цээпилдорж,Бие даан нэр дэвшигч
,,,,Батжаргалын Буянзаяа,Бие даан нэр дэвшигч
,,,,Лхамжавын Орхон,Бие даан нэр дэвшигч
Төв,14-р тойрог,3 мандат,18 нэр дэвшигч,Батбаярын Насанбилэг,Зөв хүн электорат эвсэл
,,,,Нямаагийн Энхболд,Монгол Ардын нам
,,,,Дагвын Гантөгс,Монгол Ардын нам
,,,,Жигжидийн Батжаргал,Монгол Ардын нам
,,,,Хишигдэмбэрэл Тэмүүжин,Ардчилсан нам
,,,,Дэрэм Эрдэнэсувд,Ардчилсан нам
,,,,Цэвэгдорж Туваан,Ардчилсан нам
,,,,Оргойн Буяннэмэх,Та бидний эвсэл
,,,,Туулын Мөнхсүлд,Та бидний эвсэл
,,,,Санжаагийн Эрдэнэчимэг,Та бидний эвсэл
,,,,Агваансамдангийн Батсүх,Шинэ эвсэл
,,,,Бадмаабазарын Цондовдорж,Шинэ эвсэл
,,,,Лхамсүрэнгийн Алтантуяа,Шинэ эвсэл
,,,,Дүншигийн Мягмарсүрэн,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Намсрайдоржийн Уянга,Зон Олны нам
,,,,Өвгөнхүүгийн Гэрэлт-Од,Бие даан нэр дэвшигч
,,,,Сэдбазарын Чойжилжав,Бие даан нэр дэвшигч
,,,,Дуламсүрэнгийн Доржпүрэв,Бие даан нэр дэвшигч
Увс,15-р тойрог,3 мандат,23 нэр дэвшигч,Чимэдийн Хүрэлбаатар,Монгол Ардын нам
,,,,Намсрайн Цэрэнбат,Монгол Ардын нам
,,,,Баттогтохын Чойжилсүрэн,Монгол Ардын нам
,,,,Саманд Жавхлан,Ардчилсан нам
,,,,Одон Цогтгэрэл,Ардчилсан нам
,,,,Дашийн Цэндсүрэн,Ардчилсан нам
,,,,Нямаагийн Уламбаяр,Та бидний эвсэл
,,,,Хорлоогийн Удвалцэцэг,Та бидний эвсэл
,,,,Дамдинсүрэнгийн Гансүрэн,Та бидний эвсэл
,,,,Шагдарын Буянжаргал,Шинэ эвсэл
,,,,Авирмэдийн Чинбат,Шинэ эвсэл
,,,,Гансүхийн Нямсүрэн,Шинэ эвсэл
,,,,Цэдэвийн Өлзийтогтох,Зөв хүн электорат эвсэл
,,,,Доржнамжилын Болд-Эрдэнэ,Зөв хүн электорат эвсэл
,,,,Мөнхбаярын Цэдэнпунцаг,Зөв хүн электорат эвсэл
,,,,Ишийн Эрдэнэчимэг,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Дулмаагийн Ганхуяг,Эрх Чөлөөг Хэрэгжүүлэгч нам
,,,,Ихбаатарын Золзаяа,Зон Олны нам
,,,,Баатаржавын Бат-Амгалан,Бие даан нэр дэвшигч
,,,,Буянжаргалын Лхагвасүрэн,Бие даан нэр дэвшигч
,,,,Ганболдын Пүрэврагчаа,Бие даан нэр дэвшигч
,,,,Цэнгэлийн Бат-Эрдэнэ,Бие даан нэр дэвшигч
,,,,Цэвээний Батболд,Бие даан нэр дэвшигч
"Сонгинохайрхан (1, 2, 3, 4, 5, 6, 20, 22, 24, 26, 32, 33, 34, 35, 36, 37, 41 дүгээр хороо)",27-р тойрог,2 мандат,23 нэр дэвшигч,Батзоригийн Эрдэнээ,Зөв хүн электорат эвсэл
,,,,Хишгээгийн Нямбаатар,Монгол Ардын нам
,,,,Бадарчийн Жаргалмаа,Монгол Ардын нам
,,,,Даваа Кёкүшюзан Батбаяр,Ардчилсан нам
,,,,Бадамдорж Пунсалмаа,Ардчилсан нам
,,,,Батсүхийн Алтанхуяг,Монголын Ногоон нам
,,,,Буяагийн Тулга,Та бидний эвсэл
,,,,Дашаагийн Бямбасүрэн,Та бидний эвсэл
,,,,Халтарын Оюунцэцэг,Шинэ эвсэл
,,,,Борисын Саранцэцэг,Шинэ эвсэл
,,,,Жадамбын Отгонбаяр,Зөв хүн электорат эвсэл
,,,,Доржпаламын Хосбаяр,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Болдбаатарын Отгонтуул,Сахигтун! Үндсэн хуулийн 19 эвсэл
,,,,Дэлгэрбатын Насанбаяр,Зон Олны нам
,,,,Дүгэржавын Батбаатар,Ард Түмний Олонхийн Засаглал нам
,,,,Должингийн Нармандах,Ард Түмний Олонхийн Засаглал нам
,,,,Ягааны Мөнгөнцэцэг,Гэр хороолол хөгжлийн нам
,,,,Оргилын Энхмаа,Бие даан нэр дэвшигч
